#: table_doi: 10.17182/hepdata.92323.v2/t5
#: name: Delta Chi-squared Map (two-dimensional method)
#: description: $\Delta \chi^2$ map of phase-I+II data calculated by the two-dimensional method. To be used in combination with the $\Delta \chi^2_{\text{crit},x}$ values of the two-dimensional method to generate exclusion contours at $x$% C.L. for phase-I+II data. Additional explanations are given there.
#: data_file: DeltaChisquaredValues2D.yaml
#: keyword observables: Delta Chi^2
#: keyword phrases: Delta Chi-squared Map
#: ,delta chi-squared values
$\sin^{2}(2\theta_{ee})$,$\Delta m^{2}_{41}$ [eV$^2$],$\Delta\chi^{2}$
0.1233,0.2712,10.83
0.1292,0.2712,10.95
0.1353,0.2712,11.09
0.1417,0.2712,11.24
0.1485,0.2712,11.4
0.1556,0.2712,11.57
0.163,0.2712,11.75
0.1707,0.2712,11.96
0.1789,0.2712,12.18
0.1874,0.2712,12.42
0.1963,0.2712,12.68
0.2057,0.2712,12.97
0.2154,0.2712,13.29
0.2257,0.2712,13.63
0.2364,0.2712,14.01
0.2477,0.2712,14.43
0.2595,0.2712,14.89
0.2719,0.2712,15.4
0.2848,0.2712,15.97
0.2984,0.2712,16.59
0.3126,0.2712,17.29
0.3275,0.2712,18.07
0.343,0.2712,18.94
0.3594,0.2712,19.91
0.3765,0.2712,21
0.3944,0.2712,22.23
0.4132,0.2712,23.63
0.4329,0.2712,25.21
0.4535,0.2712,27.01
0.4751,0.2712,29.07
0.4977,0.2712,31.44
0.5214,0.2712,34.17
0.5462,0.2712,37.34
0.5722,0.2712,41.04
0.5995,0.2712,45.39
0.628,0.2712,50.53
0.6579,0.2712,56.67
0.6893,0.2712,64.07
0.7221,0.2712,73.08
0.7565,0.2712,84.2
0.7925,0.2712,98.11
0.8302,0.2712,115.86
0.8697,0.2712,139
0.9112,0.2712,170.07
0.9545,0.2712,213.43
1,0.2712,213.34
0.01,0.2855,9.07
0.0105,0.2855,9.08
0.011,0.2855,9.08
0.0115,0.2855,9.09
0.012,0.2855,9.09
0.0126,0.2855,9.1
0.0132,0.2855,9.11
0.0138,0.2855,9.11
0.0145,0.2855,9.12
0.0152,0.2855,9.13
0.0159,0.2855,9.14
0.0167,0.2855,9.14
0.0175,0.2855,9.15
0.0183,0.2855,9.16
0.0192,0.2855,9.17
0.0201,0.2855,9.18
0.021,0.2855,9.19
0.0221,0.2855,9.21
0.0231,0.2855,9.22
0.0242,0.2855,9.23
0.0254,0.2855,9.24
0.0266,0.2855,9.26
0.0278,0.2855,9.27
0.0292,0.2855,9.29
0.0305,0.2855,9.31
0.032,0.2855,9.32
0.0335,0.2855,9.34
0.0351,0.2855,9.36
0.0368,0.2855,9.38
0.0385,0.2855,9.41
0.0404,0.2855,9.43
0.0423,0.2855,9.46
0.0443,0.2855,9.48
0.0464,0.2855,9.51
0.0486,0.2855,9.54
0.0509,0.2855,9.58
0.0534,0.2855,9.61
0.0559,0.2855,9.65
0.0586,0.2855,9.69
0.0614,0.2855,9.73
0.0643,0.2855,9.77
0.0673,0.2855,9.82
0.0705,0.2855,9.87
0.0739,0.2855,9.92
0.0774,0.2855,9.98
0.0811,0.2855,10.04
0.085,0.2855,10.11
0.089,0.2855,10.18
0.0933,0.2855,10.26
0.0977,0.2855,10.34
0.1024,0.2855,10.43
0.1072,0.2855,10.52
0.1123,0.2855,10.63
0.1177,0.2855,10.74
0.1233,0.2855,10.85
0.1292,0.2855,10.98
0.1353,0.2855,11.12
0.1417,0.2855,11.27
0.1485,0.2855,11.44
0.1556,0.2855,11.62
0.163,0.2855,11.81
0.1707,0.2855,12.02
0.1789,0.2855,12.25
0.1874,0.2855,12.5
0.1963,0.2855,12.78
0.2057,0.2855,13.08
0.2154,0.2855,13.41
0.2257,0.2855,13.77
0.2364,0.2855,14.17
0.2477,0.2855,14.61
0.2595,0.2855,15.09
0.2719,0.2855,15.63
0.2848,0.2855,16.23
0.2984,0.2855,16.89
0.3126,0.2855,17.63
0.3275,0.2855,18.46
0.343,0.2855,19.39
0.3594,0.2855,20.43
0.3765,0.2855,21.61
0.3944,0.2855,22.94
0.4132,0.2855,24.45
0.4329,0.2855,26.17
0.4535,0.2855,28.13
0.4751,0.2855,30.39
0.4977,0.2855,32.99
0.5214,0.2855,36.02
0.5462,0.2855,39.54
0.5722,0.2855,43.68
0.5995,0.2855,48.57
0.628,0.2855,54.41
0.6579,0.2855,61.43
0.6893,0.2855,69.97
0.7221,0.2855,80.47
0.7565,0.2855,93.59
0.7925,0.2855,110.25
0.8302,0.2855,131.89
0.8697,0.2855,160.8
0.9112,0.2855,200.95
0.9545,0.2855,260.28
1,0.2855,260.15
0.01,0.3005,9.07
0.0105,0.3005,9.07
0.011,0.3005,9.08
0.0115,0.3005,9.09
0.012,0.3005,9.09
0.0126,0.3005,9.1
0.0132,0.3005,9.1
0.0138,0.3005,9.11
0.0145,0.3005,9.12
0.0152,0.3005,9.12
0.0159,0.3005,9.13
0.0167,0.3005,9.14
0.0175,0.3005,9.15
0.0183,0.3005,9.16
0.0192,0.3005,9.17
0.0201,0.3005,9.18
0.021,0.3005,9.19
0.0221,0.3005,9.2
0.0231,0.3005,9.21
0.0242,0.3005,9.22
0.0254,0.3005,9.24
0.0266,0.3005,9.25
0.0278,0.3005,9.27
0.0292,0.3005,9.28
0.0305,0.3005,9.3
0.032,0.3005,9.32
0.0335,0.3005,9.34
0.0351,0.3005,9.36
0.0368,0.3005,9.38
0.0385,0.3005,9.4
0.0404,0.3005,9.42
0.0423,0.3005,9.45
0.0443,0.3005,9.47
0.0464,0.3005,9.5
0.0486,0.3005,9.53
0.0509,0.3005,9.56
0.0534,0.3005,9.6
0.0559,0.3005,9.64
0.0586,0.3005,9.67
0.0614,0.3005,9.72
0.0643,0.3005,9.76
0.0673,0.3005,9.81
0.0705,0.3005,9.86
0.0739,0.3005,9.91
0.0774,0.3005,9.97
0.0811,0.3005,10.03
0.085,0.3005,10.1
0.089,0.3005,10.17
0.0933,0.3005,10.24
0.0977,0.3005,10.33
0.1024,0.3005,10.42
0.1072,0.3005,10.51
0.1123,0.3005,10.61
0.1177,0.3005,10.73
0.1233,0.3005,10.85
0.1292,0.3005,10.98
0.1353,0.3005,11.12
0.1417,0.3005,11.27
0.1485,0.3005,11.44
0.1556,0.3005,11.62
0.163,0.3005,11.81
0.1707,0.3005,12.03
0.1789,0.3005,12.26
0.1874,0.3005,12.52
0.1963,0.3005,12.8
0.2057,0.3005,13.11
0.2154,0.3005,13.45
0.2257,0.3005,13.82
0.2364,0.3005,14.23
0.2477,0.3005,14.69
0.2595,0.3005,15.19
0.2719,0.3005,15.75
0.2848,0.3005,16.37
0.2984,0.3005,17.06
0.3126,0.3005,17.84
0.3275,0.3005,18.71
0.343,0.3005,19.68
0.3594,0.3005,20.78
0.3765,0.3005,22.03
0.3944,0.3005,23.44
0.4132,0.3005,25.04
0.4329,0.3005,26.88
0.4535,0.3005,28.99
0.4751,0.3005,31.42
0.4977,0.3005,34.24
0.5214,0.3005,37.53
0.5462,0.3005,41.38
0.5722,0.3005,45.94
0.5995,0.3005,51.36
0.628,0.3005,57.87
0.6579,0.3005,65.76
0.6893,0.3005,75.45
0.7221,0.3005,87.49
0.7565,0.3005,102.71
0.7925,0.3005,122.34
0.8302,0.3005,148.28
0.8697,0.3005,183.79
0.9112,0.3005,235.1
0.9545,0.3005,318.22
1,0.3005,318.02
0.01,0.3162,9.06
0.0105,0.3162,9.07
0.011,0.3162,9.07
0.0115,0.3162,9.08
0.012,0.3162,9.08
0.0126,0.3162,9.09
0.0132,0.3162,9.1
0.0138,0.3162,9.1
0.0145,0.3162,9.11
0.0152,0.3162,9.12
0.0159,0.3162,9.12
0.0167,0.3162,9.13
0.0175,0.3162,9.14
0.0183,0.3162,9.15
0.0192,0.3162,9.16
0.0201,0.3162,9.17
0.021,0.3162,9.18
0.0221,0.3162,9.19
0.0231,0.3162,9.2
0.0242,0.3162,9.21
0.0254,0.3162,9.23
0.0266,0.3162,9.24
0.0278,0.3162,9.25
0.0292,0.3162,9.27
0.0305,0.3162,9.28
0.032,0.3162,9.3
0.0335,0.3162,9.32
0.0351,0.3162,9.34
0.0368,0.3162,9.36
0.0385,0.3162,9.38
0.0404,0.3162,9.4
0.0423,0.3162,9.43
0.0443,0.3162,9.45
0.0464,0.3162,9.48
0.0486,0.3162,9.51
0.0509,0.3162,9.54
0.0534,0.3162,9.57
0.0559,0.3162,9.61
0.0586,0.3162,9.65
0.0614,0.3162,9.69
0.0643,0.3162,9.73
0.0673,0.3162,9.77
0.0705,0.3162,9.82
0.0739,0.3162,9.88
0.0774,0.3162,9.93
0.0811,0.3162,9.99
0.085,0.3162,10.06
0.089,0.3162,10.13
0.0933,0.3162,10.2
0.0977,0.3162,10.28
0.1024,0.3162,10.37
0.1072,0.3162,10.46
0.1123,0.3162,10.57
0.1177,0.3162,10.67
0.1233,0.3162,10.79
0.1292,0.3162,10.92
0.1353,0.3162,11.06
0.1417,0.3162,11.21
0.1485,0.3162,11.38
0.1556,0.3162,11.56
0.163,0.3162,11.75
0.1707,0.3162,11.97
0.1789,0.3162,12.2
0.1874,0.3162,12.46
0.1963,0.3162,12.74
0.2057,0.3162,13.05
0.2154,0.3162,13.39
0.2257,0.3162,13.77
0.2364,0.3162,14.18
0.2477,0.3162,14.64
0.2595,0.3162,15.15
0.2719,0.3162,15.72
0.2848,0.3162,16.36
0.2984,0.3162,17.07
0.3126,0.3162,17.86
0.3275,0.3162,18.75
0.343,0.3162,19.76
0.3594,0.3162,20.9
0.3765,0.3162,22.19
0.3944,0.3162,23.66
0.4132,0.3162,25.34
0.4329,0.3162,27.26
0.4535,0.3162,29.48
0.4751,0.3162,32.06
0.4977,0.3162,35.05
0.5214,0.3162,38.57
0.5462,0.3162,42.71
0.5722,0.3162,47.64
0.5995,0.3162,53.54
0.628,0.3162,60.68
0.6579,0.3162,69.41
0.6893,0.3162,80.22
0.7221,0.3162,93.82
0.7565,0.3162,111.21
0.7925,0.3162,133.95
0.8302,0.3162,164.54
0.8697,0.3162,207.35
0.9112,0.3162,271.7
0.9545,0.3162,393.27
1,0.3162,392.93
0.01,0.3328,9.06
0.0105,0.3328,9.06
0.011,0.3328,9.07
0.0115,0.3328,9.07
0.012,0.3328,9.08
0.0126,0.3328,9.08
0.0132,0.3328,9.09
0.0138,0.3328,9.09
0.0145,0.3328,9.1
0.0152,0.3328,9.1
0.0159,0.3328,9.11
0.0167,0.3328,9.12
0.0175,0.3328,9.13
0.0183,0.3328,9.13
0.0192,0.3328,9.14
0.0201,0.3328,9.15
0.021,0.3328,9.16
0.0221,0.3328,9.17
0.0231,0.3328,9.18
0.0242,0.3328,9.19
0.0254,0.3328,9.2
0.0266,0.3328,9.22
0.0278,0.3328,9.23
0.0292,0.3328,9.24
0.0305,0.3328,9.26
0.032,0.3328,9.28
0.0335,0.3328,9.29
0.0351,0.3328,9.31
0.0368,0.3328,9.33
0.0385,0.3328,9.35
0.0404,0.3328,9.37
0.0423,0.3328,9.39
0.0443,0.3328,9.42
0.0464,0.3328,9.44
0.0486,0.3328,9.47
0.0509,0.3328,9.5
0.0534,0.3328,9.53
0.0559,0.3328,9.56
0.0586,0.3328,9.6
0.0614,0.3328,9.64
0.0643,0.3328,9.68
0.0673,0.3328,9.72
0.0705,0.3328,9.77
0.0739,0.3328,9.82
0.0774,0.3328,9.87
0.0811,0.3328,9.93
0.085,0.3328,9.99
0.089,0.3328,10.05
0.0933,0.3328,10.13
0.0977,0.3328,10.2
0.1024,0.3328,10.29
0.1072,0.3328,10.38
0.1123,0.3328,10.47
0.1177,0.3328,10.58
0.1233,0.3328,10.69
0.1292,0.3328,10.82
0.1353,0.3328,10.95
0.1417,0.3328,11.1
0.1485,0.3328,11.26
0.1556,0.3328,11.43
0.163,0.3328,11.62
0.1707,0.3328,11.83
0.1789,0.3328,12.06
0.1874,0.3328,12.31
0.1963,0.3328,12.59
0.2057,0.3328,12.89
0.2154,0.3328,13.23
0.2257,0.3328,13.6
0.2364,0.3328,14.01
0.2477,0.3328,14.46
0.2595,0.3328,14.97
0.2719,0.3328,15.54
0.2848,0.3328,16.17
0.2984,0.3328,16.88
0.3126,0.3328,17.68
0.3275,0.3328,18.58
0.343,0.3328,19.6
0.3594,0.3328,20.75
0.3765,0.3328,22.07
0.3944,0.3328,23.57
0.4132,0.3328,25.29
0.4329,0.3328,27.28
0.4535,0.3328,29.58
0.4751,0.3328,32.25
0.4977,0.3328,35.39
0.5214,0.3328,39.08
0.5462,0.3328,43.47
0.5722,0.3328,48.72
0.5995,0.3328,55.06
0.628,0.3328,62.79
0.6579,0.3328,72.34
0.6893,0.3328,84.3
0.7221,0.3328,99.51
0.7565,0.3328,119.25
0.7925,0.3328,145.49
0.8302,0.3328,181.46
0.8697,0.3328,232.87
0.9112,0.3328,312.61
0.9545,0.3328,484.71
1,0.3328,484.18
0.01,0.3503,9.05
0.0105,0.3503,9.05
0.011,0.3503,9.05
0.0115,0.3503,9.06
0.012,0.3503,9.06
0.0126,0.3503,9.07
0.0132,0.3503,9.07
0.0138,0.3503,9.08
0.0145,0.3503,9.08
0.0152,0.3503,9.09
0.0159,0.3503,9.09
0.0167,0.3503,9.1
0.0175,0.3503,9.11
0.0183,0.3503,9.11
0.0192,0.3503,9.12
0.0201,0.3503,9.13
0.021,0.3503,9.14
0.0221,0.3503,9.15
0.0231,0.3503,9.16
0.0242,0.3503,9.17
0.0254,0.3503,9.18
0.0266,0.3503,9.19
0.0278,0.3503,9.2
0.0292,0.3503,9.21
0.0305,0.3503,9.22
0.032,0.3503,9.24
0.0335,0.3503,9.25
0.0351,0.3503,9.27
0.0368,0.3503,9.29
0.0385,0.3503,9.3
0.0404,0.3503,9.32
0.0423,0.3503,9.34
0.0443,0.3503,9.36
0.0464,0.3503,9.39
0.0486,0.3503,9.41
0.0509,0.3503,9.44
0.0534,0.3503,9.47
0.0559,0.3503,9.5
0.0586,0.3503,9.53
0.0614,0.3503,9.56
0.0643,0.3503,9.6
0.0673,0.3503,9.64
0.0705,0.3503,9.68
0.0739,0.3503,9.73
0.0774,0.3503,9.77
0.0811,0.3503,9.83
0.085,0.3503,9.88
0.089,0.3503,9.94
0.0933,0.3503,10.01
0.0977,0.3503,10.08
0.1024,0.3503,10.16
0.1072,0.3503,10.24
0.1123,0.3503,10.33
0.1177,0.3503,10.43
0.1233,0.3503,10.54
0.1292,0.3503,10.65
0.1353,0.3503,10.78
0.1417,0.3503,10.91
0.1485,0.3503,11.06
0.1556,0.3503,11.23
0.163,0.3503,11.41
0.1707,0.3503,11.61
0.1789,0.3503,11.82
0.1874,0.3503,12.06
0.1963,0.3503,12.32
0.2057,0.3503,12.62
0.2154,0.3503,12.94
0.2257,0.3503,13.29
0.2364,0.3503,13.69
0.2477,0.3503,14.13
0.2595,0.3503,14.63
0.2719,0.3503,15.18
0.2848,0.3503,15.8
0.2984,0.3503,16.49
0.3126,0.3503,17.28
0.3275,0.3503,18.16
0.343,0.3503,19.17
0.3594,0.3503,20.32
0.3765,0.3503,21.63
0.3944,0.3503,23.14
0.4132,0.3503,24.87
0.4329,0.3503,26.88
0.4535,0.3503,29.22
0.4751,0.3503,31.96
0.4977,0.3503,35.19
0.5214,0.3503,39.02
0.5462,0.3503,43.6
0.5722,0.3503,49.13
0.5995,0.3503,55.86
0.628,0.3503,64.16
0.6579,0.3503,74.52
0.6893,0.3503,87.66
0.7221,0.3503,104.64
0.7565,0.3503,127.08
0.7925,0.3503,157.55
0.8302,0.3503,200.39
0.8697,0.3503,263.4
0.9112,0.3503,364.25
0.9545,0.3503,598.49
1,0.3503,597.74
0.01,0.3687,9.03
0.0105,0.3687,9.03
0.011,0.3687,9.04
0.0115,0.3687,9.04
0.012,0.3687,9.04
0.0126,0.3687,9.05
0.0132,0.3687,9.05
0.0138,0.3687,9.06
0.0145,0.3687,9.06
0.0152,0.3687,9.06
0.0159,0.3687,9.07
0.0167,0.3687,9.07
0.0175,0.3687,9.08
0.0183,0.3687,9.09
0.0192,0.3687,9.09
0.0201,0.3687,9.1
0.021,0.3687,9.11
0.0221,0.3687,9.11
0.0231,0.3687,9.12
0.0242,0.3687,9.13
0.0254,0.3687,9.14
0.0266,0.3687,9.15
0.0278,0.3687,9.16
0.0292,0.3687,9.17
0.0305,0.3687,9.18
0.032,0.3687,9.19
0.0335,0.3687,9.2
0.0351,0.3687,9.21
0.0368,0.3687,9.23
0.0385,0.3687,9.24
0.0404,0.3687,9.26
0.0423,0.3687,9.28
0.0443,0.3687,9.29
0.0464,0.3687,9.31
0.0486,0.3687,9.33
0.0509,0.3687,9.36
0.0534,0.3687,9.38
0.0559,0.3687,9.41
0.0586,0.3687,9.43
0.0614,0.3687,9.46
0.0643,0.3687,9.49
0.0673,0.3687,9.53
0.0705,0.3687,9.56
0.0739,0.3687,9.6
0.0774,0.3687,9.65
0.0811,0.3687,10.07
0.085,0.3687,9.74
0.089,0.3687,9.79
0.0933,0.3687,9.85
0.0977,0.3687,9.91
0.1024,0.3687,9.98
0.1072,0.3687,10.06
0.1123,0.3687,10.14
0.1177,0.3687,10.22
0.1233,0.3687,10.32
0.1292,0.3687,10.42
0.1353,0.3687,10.54
0.1417,0.3687,10.66
0.1485,0.3687,10.8
0.1556,0.3687,10.95
0.163,0.3687,11.11
0.1707,0.3687,11.29
0.1789,0.3687,11.49
0.1874,0.3687,11.71
0.1963,0.3687,11.95
0.2057,0.3687,12.22
0.2154,0.3687,12.52
0.2257,0.3687,12.86
0.2364,0.3687,13.23
0.2477,0.3687,13.65
0.2595,0.3687,14.11
0.2719,0.3687,14.64
0.2848,0.3687,15.23
0.2984,0.3687,15.89
0.3126,0.3687,16.65
0.3275,0.3687,17.51
0.343,0.3687,18.48
0.3594,0.3687,19.6
0.3765,0.3687,20.89
0.3944,0.3687,22.37
0.4132,0.3687,24.09
0.4329,0.3687,26.09
0.4535,0.3687,28.44
0.4751,0.3687,31.2
0.4977,0.3687,34.48
0.5214,0.3687,38.4
0.5462,0.3687,43.13
0.5722,0.3687,48.89
0.5995,0.3687,55.98
0.628,0.3687,64.81
0.6579,0.3687,75.99
0.6893,0.3687,90.38
0.7221,0.3687,109.32
0.7565,0.3687,134.86
0.7925,0.3687,170.46
0.8302,0.3687,222.13
0.8697,0.3687,301.16
0.9112,0.3687,432.93
0.9545,0.3687,740.11
1,0.3687,739.13
0.01,0.3881,9.01
0.0105,0.3881,9.01
0.011,0.3881,9.02
0.0115,0.3881,9.02
0.012,0.3881,9.02
0.0126,0.3881,9.02
0.0132,0.3881,9.03
0.0138,0.3881,9.03
0.0145,0.3881,9.03
0.0152,0.3881,9.04
0.0159,0.3881,9.04
0.0167,0.3881,9.04
0.0175,0.3881,9.05
0.0183,0.3881,9.05
0.0192,0.3881,9.05
0.0201,0.3881,9.06
0.021,0.3881,9.06
0.0221,0.3881,9.07
0.0231,0.3881,9.08
0.0242,0.3881,9.08
0.0254,0.3881,9.09
0.0266,0.3881,9.09
0.0278,0.3881,9.1
0.0292,0.3881,9.11
0.0305,0.3881,9.12
0.032,0.3881,9.13
0.0335,0.3881,9.13
0.0351,0.3881,9.14
0.0368,0.3881,9.16
0.0385,0.3881,9.17
0.0404,0.3881,9.18
0.0423,0.3881,9.19
0.0443,0.3881,9.21
0.0464,0.3881,9.22
0.0486,0.3881,9.24
0.0509,0.3881,9.25
0.0534,0.3881,9.27
0.0559,0.3881,9.29
0.0586,0.3881,9.31
0.0614,0.3881,9.34
0.0643,0.3881,9.36
0.0673,0.3881,9.39
0.0705,0.3881,9.42
0.0739,0.3881,9.45
0.0774,0.3881,9.48
0.0811,0.3881,9.52
0.085,0.3881,9.56
0.089,0.3881,9.6
0.0933,0.3881,9.65
0.0977,0.3881,9.7
0.1024,0.3881,9.76
0.1072,0.3881,9.82
0.1123,0.3881,9.89
0.1177,0.3881,9.96
0.1233,0.3881,10.04
0.1292,0.3881,10.13
0.1353,0.3881,10.23
0.1417,0.3881,10.34
0.1485,0.3881,10.45
0.1556,0.3881,10.58
0.163,0.3881,10.73
0.1707,0.3881,10.89
0.1789,0.3881,11.06
0.1874,0.3881,11.26
0.1963,0.3881,11.48
0.2057,0.3881,11.72
0.2154,0.3881,11.99
0.2257,0.3881,12.29
0.2364,0.3881,12.63
0.2477,0.3881,13.01
0.2595,0.3881,13.44
0.2719,0.3881,13.93
0.2848,0.3881,14.48
0.2984,0.3881,15.1
0.3126,0.3881,15.81
0.3275,0.3881,16.62
0.343,0.3881,17.55
0.3594,0.3881,18.62
0.3765,0.3881,19.86
0.3944,0.3881,21.29
0.4132,0.3881,22.97
0.4329,0.3881,24.93
0.4535,0.3881,27.25
0.4751,0.3881,30
0.4977,0.3881,33.29
0.5214,0.3881,37.26
0.5462,0.3881,42.08
0.5722,0.3881,48.01
0.5995,0.3881,55.39
0.628,0.3881,64.69
0.6579,0.3881,76.62
0.6893,0.3881,92.2
0.7221,0.3881,113.04
0.7565,0.3881,141.72
0.7925,0.3881,182.69
0.8302,0.3881,244.04
0.8697,0.3881,342.07
0.9112,0.3881,514.11
0.9545,0.3881,886.95
1,0.3881,885.98
0.01,0.4084,8.99
0.0105,0.4084,8.99
0.011,0.4084,8.99
0.0115,0.4084,8.99
0.012,0.4084,8.99
0.0126,0.4084,8.99
0.0132,0.4084,9
0.0138,0.4084,9
0.0145,0.4084,9
0.0152,0.4084,9
0.0159,0.4084,9
0.0167,0.4084,9
0.0175,0.4084,9.01
0.0183,0.4084,9.01
0.0192,0.4084,9.01
0.0201,0.4084,9.01
0.021,0.4084,9.01
0.0221,0.4084,9.02
0.0231,0.4084,9.02
0.0242,0.4084,9.02
0.0254,0.4084,9.03
0.0266,0.4084,9.03
0.0278,0.4084,9.03
0.0292,0.4084,9.04
0.0305,0.4084,9.04
0.032,0.4084,9.05
0.0335,0.4084,9.05
0.0351,0.4084,9.06
0.0368,0.4084,9.07
0.0385,0.4084,9.07
0.0404,0.4084,9.08
0.0423,0.4084,9.09
0.0443,0.4084,9.1
0.0464,0.4084,9.11
0.0486,0.4084,9.12
0.0509,0.4084,9.13
0.0534,0.4084,9.14
0.0559,0.4084,9.15
0.0586,0.4084,9.17
0.0614,0.4084,9.18
0.0643,0.4084,9.2
0.0673,0.4084,9.22
0.0705,0.4084,9.24
0.0739,0.4084,9.26
0.0774,0.4084,9.28
0.0811,0.4084,9.31
0.085,0.4084,9.34
0.089,0.4084,9.37
0.0933,0.4084,9.41
0.0977,0.4084,9.45
0.1024,0.4084,9.49
0.1072,0.4084,9.54
0.1123,0.4084,9.59
0.1177,0.4084,9.65
0.1233,0.4084,9.71
0.1292,0.4084,9.78
0.1353,0.4084,9.86
0.1417,0.4084,9.94
0.1485,0.4084,10.04
0.1556,0.4084,10.15
0.163,0.4084,10.27
0.1707,0.4084,10.4
0.1789,0.4084,10.55
0.1874,0.4084,10.71
0.1963,0.4084,10.9
0.2057,0.4084,11.11
0.2154,0.4084,11.34
0.2257,0.4084,11.61
0.2364,0.4084,11.91
0.2477,0.4084,12.24
0.2595,0.4084,12.63
0.2719,0.4084,13.06
0.2848,0.4084,13.56
0.2984,0.4084,14.13
0.3126,0.4084,14.78
0.3275,0.4084,15.53
0.343,0.4084,16.4
0.3594,0.4084,17.4
0.3765,0.4084,18.57
0.3944,0.4084,19.94
0.4132,0.4084,21.54
0.4329,0.4084,23.44
0.4535,0.4084,25.69
0.4751,0.4084,28.39
0.4977,0.4084,31.63
0.5214,0.4084,35.58
0.5462,0.4084,40.42
0.5722,0.4084,46.42
0.5995,0.4084,53.95
0.628,0.4084,63.54
0.6579,0.4084,75.97
0.6893,0.4084,92.38
0.7221,0.4084,114.61
0.7565,0.4084,145.65
0.7925,0.4084,190.7
0.8302,0.4084,259.65
0.8697,0.4084,373.45
0.9112,0.4084,585.74
0.9545,0.4084,1092.74
1,0.4084,1091.23
0.01,0.4299,8.96
0.0105,0.4299,8.96
0.011,0.4299,8.96
0.0115,0.4299,8.96
0.012,0.4299,8.96
0.0126,0.4299,8.96
0.0132,0.4299,8.96
0.0138,0.4299,8.96
0.0145,0.4299,8.96
0.0152,0.4299,8.96
0.0159,0.4299,8.96
0.0167,0.4299,8.96
0.0175,0.4299,8.96
0.0183,0.4299,8.96
0.0192,0.4299,8.96
0.0201,0.4299,8.96
0.021,0.4299,8.96
0.0221,0.4299,8.96
0.0231,0.4299,8.96
0.0242,0.4299,8.96
0.0254,0.4299,8.96
0.0266,0.4299,8.96
0.0278,0.4299,8.96
0.0292,0.4299,8.96
0.0305,0.4299,8.96
0.032,0.4299,8.96
0.0335,0.4299,8.96
0.0351,0.4299,8.96
0.0368,0.4299,8.96
0.0385,0.4299,8.96
0.0404,0.4299,8.96
0.0423,0.4299,8.97
0.0443,0.4299,8.97
0.0464,0.4299,8.97
0.0486,0.4299,8.97
0.0509,0.4299,8.98
0.0534,0.4299,8.98
0.0559,0.4299,8.99
0.0586,0.4299,8.99
0.0614,0.4299,9
0.0643,0.4299,9.01
0.0673,0.4299,9.02
0.0705,0.4299,9.03
0.0739,0.4299,9.04
0.0774,0.4299,9.05
0.0811,0.4299,9.07
0.085,0.4299,9.08
0.089,0.4299,9.1
0.0933,0.4299,9.12
0.0977,0.4299,9.15
0.1024,0.4299,9.17
0.1072,0.4299,9.21
0.1123,0.4299,9.24
0.1177,0.4299,9.28
0.1233,0.4299,9.32
0.1292,0.4299,9.37
0.1353,0.4299,9.43
0.1417,0.4299,9.49
0.1485,0.4299,9.56
0.1556,0.4299,9.64
0.163,0.4299,9.73
0.1707,0.4299,9.84
0.1789,0.4299,9.96
0.1874,0.4299,10.09
0.1963,0.4299,10.24
0.2057,0.4299,10.41
0.2154,0.4299,10.61
0.2257,0.4299,10.83
0.2364,0.4299,11.08
0.2477,0.4299,11.37
0.2595,0.4299,11.71
0.2719,0.4299,12.09
0.2848,0.4299,12.53
0.2984,0.4299,13.04
0.3126,0.4299,13.62
0.3275,0.4299,14.31
0.343,0.4299,15.1
0.3594,0.4299,16.03
0.3765,0.4299,17.11
0.3944,0.4299,18.39
0.4132,0.4299,19.91
0.4329,0.4299,21.71
0.4535,0.4299,23.87
0.4751,0.4299,26.47
0.4977,0.4299,29.62
0.5214,0.4299,33.48
0.5462,0.4299,38.24
0.5722,0.4299,44.19
0.5995,0.4299,51.7
0.628,0.4299,61.34
0.6579,0.4299,73.9
0.6893,0.4299,90.61
0.7221,0.4299,113.39
0.7565,0.4299,145.39
0.7925,0.4299,192.13
0.8302,0.4299,264
0.8697,0.4299,383.37
0.9112,0.4299,613.28
0.9545,0.4299,1205.79
1,0.4299,1203.96
0.01,0.4524,8.93
0.0105,0.4524,8.93
0.011,0.4524,8.93
0.0115,0.4524,8.92
0.012,0.4524,8.92
0.0126,0.4524,8.92
0.0132,0.4524,8.92
0.0138,0.4524,8.91
0.0145,0.4524,8.91
0.0152,0.4524,8.91
0.0159,0.4524,8.91
0.0167,0.4524,8.9
0.0175,0.4524,8.9
0.0183,0.4524,8.9
0.0192,0.4524,8.89
0.0201,0.4524,8.89
0.021,0.4524,8.89
0.0221,0.4524,8.88
0.0231,0.4524,8.88
0.0242,0.4524,8.88
0.0254,0.4524,8.87
0.0266,0.4524,8.87
0.0278,0.4524,8.87
0.0292,0.4524,8.86
0.0305,0.4524,8.86
0.032,0.4524,8.85
0.0335,0.4524,8.85
0.0351,0.4524,8.84
0.0368,0.4524,8.84
0.0385,0.4524,8.84
0.0404,0.4524,8.83
0.0423,0.4524,8.83
0.0443,0.4524,8.82
0.0464,0.4524,8.82
0.0486,0.4524,8.81
0.0509,0.4524,8.81
0.0534,0.4524,8.81
0.0559,0.4524,8.8
0.0586,0.4524,8.8
0.0614,0.4524,8.8
0.0643,0.4524,8.79
0.0673,0.4524,8.79
