#: table_doi: 10.17182/hepdata.92323.v2/t5
#: name: Delta Chi-squared Map (two-dimensional method)
#: description: $\Delta \chi^2$ map of phase-I+II data calculated by the two-dimensional method. To be used in combination with the $\Delta \chi^2_{\text{crit},x}$ values of the two-dimensional method to generate exclusion contours at $x$% C.L. for phase-I+II data. Additional explanations are given there.
#: data_file: DeltaChisquaredValues2D.yaml
#: keyword observables: Delta Chi^2
#: keyword phrases: Delta Chi-squared Map
#: ,delta chi-squared values
$\sin^{2}(2\theta_{ee})$,$\Delta m^{2}_{41}$ [eV$^2$],$\Delta\chi^{2}$
0.0305,0.1325,9.11
0.032,0.1325,9.12
0.0335,0.1325,9.13
0.0351,0.1325,9.13
0.0368,0.1325,9.14
0.0385,0.1325,9.15
0.0404,0.1325,9.16
0.0423,0.1325,9.17
0.0443,0.1325,9.18
0.0464,0.1325,9.19
0.0486,0.1325,9.2
0.0509,0.1325,9.21
0.0534,0.1325,9.23
0.0559,0.1325,9.24
0.0586,0.1325,9.25
0.0614,0.1325,9.27
0.0643,0.1325,9.28
0.0673,0.1325,9.3
0.0705,0.1325,9.32
0.0739,0.1325,9.34
0.0774,0.1325,9.35
0.0811,0.1325,9.37
0.085,0.1325,9.4
0.089,0.1325,9.42
0.0933,0.1325,9.44
0.0977,0.1325,9.47
0.1024,0.1325,9.5
0.1072,0.1325,9.52
0.1123,0.1325,9.55
0.1177,0.1325,9.59
0.1233,0.1325,9.62
0.1292,0.1325,9.66
0.1353,0.1325,9.69
0.1417,0.1325,9.74
0.1485,0.1325,9.78
0.1556,0.1325,9.82
0.163,0.1325,9.87
0.1707,0.1325,9.93
0.1789,0.1325,9.98
0.1874,0.1325,10.04
0.1963,0.1325,10.11
0.2057,0.1325,10.17
0.2154,0.1325,10.25
0.2257,0.1325,10.32
0.2364,0.1325,10.41
0.2477,0.1325,10.5
0.2595,0.1325,10.59
0.2719,0.1325,10.69
0.2848,0.1325,10.81
0.2984,0.1325,10.92
0.3126,0.1325,11.05
0.3275,0.1325,11.19
0.343,0.1325,11.34
0.3594,0.1325,11.5
0.3765,0.1325,11.67
0.3944,0.1325,11.86
0.4132,0.1325,12.06
0.4329,0.1325,12.29
0.4535,0.1325,12.53
0.4751,0.1325,12.79
0.4977,0.1325,13.07
0.5214,0.1325,13.38
0.5462,0.1325,13.72
0.5722,0.1325,14.09
0.5995,0.1325,14.5
0.628,0.1325,14.95
0.6579,0.1325,15.44
0.6893,0.1325,15.98
0.7221,0.1325,16.58
0.7565,0.1325,17.24
0.7925,0.1325,17.98
0.8302,0.1325,18.79
0.8697,0.1325,19.7
0.9112,0.1325,20.72
0.9545,0.1325,21.85
1,0.1325,21.85
0.01,0.1395,9.02
0.0105,0.1395,9.02
0.011,0.1395,9.02
0.0115,0.1395,9.03
0.012,0.1395,9.03
0.0126,0.1395,9.03
0.0132,0.1395,9.04
0.0138,0.1395,9.04
0.0145,0.1395,9.04
0.0152,0.1395,9.05
0.0159,0.1395,9.05
0.0167,0.1395,9.05
0.0175,0.1395,9.06
0.0183,0.1395,9.06
0.0192,0.1395,9.07
0.0201,0.1395,9.07
0.021,0.1395,9.08
0.0221,0.1395,9.08
0.0231,0.1395,9.09
0.0242,0.1395,9.09
0.0254,0.1395,9.1
0.0266,0.1395,9.1
0.0278,0.1395,9.11
0.0292,0.1395,9.12
0.0305,0.1395,9.13
0.032,0.1395,9.13
0.0335,0.1395,9.14
0.0351,0.1395,9.15
0.0368,0.1395,9.16
0.0385,0.1395,9.17
0.0404,0.1395,9.18
0.0423,0.1395,9.19
0.0443,0.1395,9.2
0.0464,0.1395,9.21
0.0486,0.1395,9.22
0.0509,0.1395,9.24
0.0534,0.1395,9.25
0.0559,0.1395,9.27
0.0586,0.1395,9.28
0.0614,0.1395,9.3
0.0643,0.1395,9.31
0.0673,0.1395,9.33
0.0705,0.1395,9.35
0.0739,0.1395,9.37
0.0774,0.1395,9.39
0.0811,0.1395,9.41
0.085,0.1395,9.44
0.089,0.1395,9.46
0.0933,0.1395,9.49
0.0977,0.1395,9.52
0.1024,0.1395,9.55
0.1072,0.1395,9.58
0.1123,0.1395,9.61
0.1177,0.1395,9.65
0.1233,0.1395,9.69
0.1292,0.1395,9.73
0.1353,0.1395,9.77
0.1417,0.1395,9.82
0.1485,0.1395,9.86
0.1556,0.1395,9.92
0.163,0.1395,9.97
0.1707,0.1395,10.03
0.1789,0.1395,10.09
0.1874,0.1395,10.16
0.1963,0.1395,10.23
0.2057,0.1395,10.31
0.2154,0.1395,10.39
0.2257,0.1395,10.48
0.2364,0.1395,10.57
0.2477,0.1395,10.67
0.2595,0.1395,10.78
0.2719,0.1395,10.9
0.2848,0.1395,11.03
0.2984,0.1395,11.16
0.3126,0.1395,11.31
0.3275,0.1395,11.47
0.343,0.1395,11.64
0.3594,0.1395,11.83
0.3765,0.1395,12.03
0.3944,0.1395,12.24
0.4132,0.1395,12.48
0.4329,0.1395,12.74
0.4535,0.1395,13.02
0.4751,0.1395,13.33
0.4977,0.1395,13.66
0.5214,0.1395,14.03
0.5462,0.1395,14.43
0.5722,0.1395,14.87
0.5995,0.1395,15.35
0.628,0.1395,15.88
0.6579,0.1395,16.47
0.6893,0.1395,17.12
0.7221,0.1395,17.84
0.7565,0.1395,18.64
0.7925,0.1395,19.54
0.8302,0.1395,20.53
0.8697,0.1395,21.65
0.9112,0.1395,22.9
0.9545,0.1395,24.3
1,0.1395,24.3
0.01,0.1468,9.02
0.0105,0.1468,9.03
0.011,0.1468,9.03
0.0115,0.1468,9.03
0.012,0.1468,9.04
0.0126,0.1468,9.04
0.0132,0.1468,9.04
0.0138,0.1468,9.05
0.0145,0.1468,9.05
0.0152,0.1468,9.05
0.0159,0.1468,9.06
0.0167,0.1468,9.06
0.0175,0.1468,9.07
0.0183,0.1468,9.07
0.0192,0.1468,9.07
0.0201,0.1468,9.08
0.021,0.1468,9.08
0.0221,0.1468,9.09
0.0231,0.1468,9.1
0.0242,0.1468,9.1
0.0254,0.1468,9.11
0.0266,0.1468,9.12
0.0278,0.1468,9.12
0.0292,0.1468,9.13
0.0305,0.1468,9.14
0.032,0.1468,9.15
0.0335,0.1468,9.16
0.0351,0.1468,9.17
0.0368,0.1468,9.18
0.0385,0.1468,9.19
0.0404,0.1468,9.2
0.0423,0.1468,9.21
0.0443,0.1468,9.22
0.0464,0.1468,9.23
0.0486,0.1468,9.25
0.0509,0.1468,9.26
0.0534,0.1468,9.28
0.0559,0.1468,9.29
0.0586,0.1468,9.31
0.0614,0.1468,9.33
0.0643,0.1468,9.35
0.0673,0.1468,9.37
0.0705,0.1468,9.39
0.0739,0.1468,9.41
0.0774,0.1468,9.43
0.0811,0.1468,9.46
0.085,0.1468,9.48
0.089,0.1468,9.51
0.0933,0.1468,9.54
0.0977,0.1468,9.57
0.1024,0.1468,9.6
0.1072,0.1468,9.64
0.1123,0.1468,9.68
0.1177,0.1468,9.72
0.1233,0.1468,9.76
0.1292,0.1468,9.8
0.1353,0.1468,9.85
0.1417,0.1468,9.9
0.1485,0.1468,9.96
0.1556,0.1468,10.02
0.163,0.1468,10.08
0.1707,0.1468,10.14
0.1789,0.1468,10.21
0.1874,0.1468,10.29
0.1963,0.1468,10.37
0.2057,0.1468,10.46
0.2154,0.1468,10.55
0.2257,0.1468,10.65
0.2364,0.1468,10.76
0.2477,0.1468,10.87
0.2595,0.1468,11
0.2719,0.1468,11.13
0.2848,0.1468,11.28
0.2984,0.1468,11.43
0.3126,0.1468,11.6
0.3275,0.1468,11.78
0.343,0.1468,11.98
0.3594,0.1468,12.19
0.3765,0.1468,12.43
0.3944,0.1468,12.68
0.4132,0.1468,12.95
0.4329,0.1468,13.25
0.4535,0.1468,13.58
0.4751,0.1468,13.94
0.4977,0.1468,14.33
0.5214,0.1468,14.77
0.5462,0.1468,15.24
0.5722,0.1468,15.76
0.5995,0.1468,16.34
0.628,0.1468,16.97
0.6579,0.1468,17.68
0.6893,0.1468,18.46
0.7221,0.1468,19.34
0.7565,0.1468,20.31
0.7925,0.1468,21.4
0.8302,0.1468,22.62
0.8697,0.1468,23.99
0.9112,0.1468,25.54
0.9545,0.1468,27.3
1,0.1468,27.3
0.01,0.1545,9.03
0.0105,0.1545,9.03
0.011,0.1545,9.03
0.0115,0.1545,9.04
0.012,0.1545,9.04
0.0126,0.1545,9.04
0.0132,0.1545,9.05
0.0138,0.1545,9.05
0.0145,0.1545,9.06
0.0152,0.1545,9.06
0.0159,0.1545,9.06
0.0167,0.1545,9.07
0.0175,0.1545,9.07
0.0183,0.1545,9.08
0.0192,0.1545,9.08
0.0201,0.1545,9.09
0.021,0.1545,9.09
0.0221,0.1545,9.1
0.0231,0.1545,9.11
0.0242,0.1545,9.11
0.0254,0.1545,9.12
0.0266,0.1545,9.13
0.0278,0.1545,9.14
0.0292,0.1545,9.15
0.0305,0.1545,9.15
0.032,0.1545,9.16
0.0335,0.1545,9.17
0.0351,0.1545,9.18
0.0368,0.1545,9.19
0.0385,0.1545,9.21
0.0404,0.1545,9.22
0.0423,0.1545,9.23
0.0443,0.1545,9.24
0.0464,0.1545,9.26
0.0486,0.1545,9.27
0.0509,0.1545,9.29
0.0534,0.1545,9.3
0.0559,0.1545,9.32
0.0586,0.1545,9.34
0.0614,0.1545,9.36
0.0643,0.1545,9.38
0.0673,0.1545,9.4
0.0705,0.1545,9.42
0.0739,0.1545,9.45
0.0774,0.1545,9.48
0.0811,0.1545,9.5
0.085,0.1545,9.53
0.089,0.1545,9.56
0.0933,0.1545,9.59
0.0977,0.1545,9.63
0.1024,0.1545,9.67
0.1072,0.1545,9.71
0.1123,0.1545,9.75
0.1177,0.1545,9.79
0.1233,0.1545,9.84
0.1292,0.1545,9.89
0.1353,0.1545,9.94
0.1417,0.1545,10
0.1485,0.1545,10.06
0.1556,0.1545,10.12
0.163,0.1545,10.19
0.1707,0.1545,10.27
0.1789,0.1545,10.35
0.1874,0.1545,10.43
0.1963,0.1545,10.52
0.2057,0.1545,10.62
0.2154,0.1545,10.73
0.2257,0.1545,10.84
0.2364,0.1545,10.96
0.2477,0.1545,11.09
0.2595,0.1545,11.23
0.2719,0.1545,11.39
0.2848,0.1545,11.55
0.2984,0.1545,11.73
0.3126,0.1545,11.92
0.3275,0.1545,12.13
0.343,0.1545,12.36
0.3594,0.1545,12.61
0.3765,0.1545,12.88
0.3944,0.1545,13.17
0.4132,0.1545,13.49
0.4329,0.1545,13.84
0.4535,0.1545,14.22
0.4751,0.1545,14.64
0.4977,0.1545,15.11
0.5214,0.1545,15.62
0.5462,0.1545,16.18
0.5722,0.1545,16.8
0.5995,0.1545,17.49
0.628,0.1545,18.25
0.6579,0.1545,19.1
0.6893,0.1545,20.04
0.7221,0.1545,21.1
0.7565,0.1545,22.29
0.7925,0.1545,23.62
0.8302,0.1545,25.13
0.8697,0.1545,26.83
0.9112,0.1545,28.76
0.9545,0.1545,30.97
1,0.1545,30.96
0.01,0.1626,9.03
0.0105,0.1626,9.04
0.011,0.1626,9.04
0.0115,0.1626,9.04
0.012,0.1626,9.05
0.0126,0.1626,9.05
0.0132,0.1626,9.05
0.0138,0.1626,9.06
0.0145,0.1626,9.06
0.0152,0.1626,9.07
0.0159,0.1626,9.07
0.0167,0.1626,9.08
0.0175,0.1626,9.08
0.0183,0.1626,9.09
0.0192,0.1626,9.09
0.0201,0.1626,9.1
0.021,0.1626,9.1
0.0221,0.1626,9.11
0.0231,0.1626,9.12
0.0242,0.1626,9.13
0.0254,0.1626,9.13
0.0266,0.1626,9.14
0.0278,0.1626,9.15
0.0292,0.1626,9.16
0.0305,0.1626,9.17
0.032,0.1626,9.18
0.0335,0.1626,9.19
0.0351,0.1626,9.2
0.0368,0.1626,9.21
0.0385,0.1626,9.23
0.0404,0.1626,9.24
0.0423,0.1626,9.25
0.0443,0.1626,9.27
0.0464,0.1626,9.28
0.0486,0.1626,9.3
0.0509,0.1626,9.32
0.0534,0.1626,9.33
0.0559,0.1626,9.35
0.0586,0.1626,9.37
0.0614,0.1626,9.39
0.0643,0.1626,9.42
0.0673,0.1626,9.44
0.0705,0.1626,9.47
0.0739,0.1626,9.49
0.0774,0.1626,9.52
0.0811,0.1626,9.55
0.085,0.1626,9.58
0.089,0.1626,9.62
0.0933,0.1626,9.65
0.0977,0.1626,9.69
0.1024,0.1626,9.73
0.1072,0.1626,9.78
